esperanto,kanji,priority,source_root,source_line
opal,蛋白石,0,opal,6297
mering,蛋白霜,0,mering,7198
aksolotl,蛙ᴬᴷ,0,aksolotl,4767
ambistom,蛙ᴬᴹ,0,ambistom,4768
bomben,蛙ᴮᴹ,0,bomben,4766
argiop,蛛ᴬᴳ,0,argiop,3904
argironet,蛛ᴬᴿ,0,argironet,3908
avikulari,蛛ᴬⱽ,0,avikulari,3909
tegenari,蛛ᵀᴳ,0,tegenari,3907
lofi,蛤蟆鱼,0,lofi,6777
petazit,蜂斗菜,0,petazit,7577
silen,蝇子草,0,silen,7440
papilion,蝶ᴾᴺ,0,papilion,4729
pierid,蝶ᴾᴿ,0,pierid,4730
helic,螺ᴴᶜ,0,helic,4078
spiroket,螺旋体,0,spiroket,6747
hemat,血ᴴᵀ,0,hemat,1878
angiom,血管瘤,0,angiom,7620
skistosom,血虫ˢ,0,skistosom,7221
andant,行ᴬᴺ,0,andant,173
komplement,补ᴷᴸ,0,komplement,5042
esprim,表ᴱˢ,0,esprim,3137
ekspresion,表ᴱᴷ,0,ekspresion,3140
etat,表ᴱᵀ,0,etat,3138
kanguru,袋鼠ᴷ,0,kanguru,6871
tajlor,裁ᵀᴿ,0,tajlor,4099
kliv,裂ᴷᴸ,0,kliv,2672
bistr,褐ᴮˢ,0,bistr,1927
barbaden,西番莲,0,barbaden,7368
reglament,规ᴿᴹ,0,reglament,2983
televizi,视ᵀᶻ,0,televizi,3557
kerat,角ᴷᵀ,0,kerat,1792
breĉi,角砾岩,0,brec^i,7646
tikso,触ᵀᴷ,0,tikso,1656
avert,警ᴬⱽ,0,avert,2736
kogn,认ᴷᴳ,0,kogn,780
konfes,认ᴷᶠ,0,konfes,778
konsili,议ᴷᴵ,0,konsili,1140
parlament,议ᴾᴸ,0,parlament,1141
palavr,议ᴾⱽ,0,palavr,1142
ĵurnal,记ᴶ̂,0,ĵurnal,1165
predik,讲ᴾᴰ,0,predik,3540
lic,许ᴸᴵ,0,lic,1200
disert,论ᴰᴿ,0,disert,3115
demonstr,证ᴰᴹ,0,demonstr,3920
depozici,证ᴰᶻ,0,depozici,3921
koment,评ᴷᴹ,0,koment,3346
apel,诉ᴬᴾ,0,apel,1853
poet,诗ᴾᵀ,0,poet,3436
poezi,诗ᴾᶻ,0,poezi,3437
modul,调ᴹᴰ,0,modul,3473
tonal,调ᵀᴸ,0,tonal,3474
paletr,调色板,0,paletr,7196
konvers,谈ᴷᴼ,0,konvers,3530
koluzi,谋ᴷᴸ,0,koluzi,5733
komplot,谋ᴷᴹ,0,komplot,5734
harmon,谐ᴴᴬ,0,harmon,4380
harmoni,谐ᴴᴿ,0,harmoni,4379
fazeol,豆ᶠᶻ,0,fazeol,4585
arkiteŭt,贝ᴬᴿ,0,arkiteu^t,4465
pinktad,贝ᴾᴷ,0,pinktad,4463
panope,贝ᴾᴾ,0,panope,4461
testacel,贝ᵀˢ,0,testacel,4466
tridakn,贝ᵀᴷ,0,tridakn,4464
kvestor,财务官,0,kvestor,6789
respons,责ᴿˢ,0,respons,2999
ŝakr,贩ˢ̂,0,s^akr,5000
deprec,贬ᴰᴾ,0,deprec,6495
afrank,贴ᴬᴿ,0,afrank,3884
nobel,贵ᴺᴱ,0,nobel,4290
kompliment,赞ᴷᴹ,0,kompliment,1572
absolv,赦ᴬᴮ,0,absolv,6728
pod,足ᴾᴼ,0,pod,1202
ŝpur,距ˢ̂,0,s^pur,3659
ŝose,路ˢ̂,0,ŝose,931
kik,踢ᴷᴷ,0,kik,6429
aŭtobus,车ᴬᴮ,0,aŭtobus,1913
aŭtomobil,车ᴬᴹ,0,aŭtomobil,1914
bicikl,车ᴮᶜ,0,bicikl,1911
kaleŝ,车ᴷᴸ,0,kales^,1916
torn,车ᵀᴺ,0,torn,1915
ĝir,转ᴳ̂,0,ĝir,1272
relajs,转ᴿᴸ,0,relajs,1274
transpon,转ᵀˢ,0,transpon,1277
ŝaft,轴ˢ̂,0,s^aft,4864
komparativ,较ᴷᵀ,0,komparativ,2865
ureter,输尿管,0,ureter,7582
kajen,辣ᴷᴶ,0,kajen,5853
diskrimin,辨ᴰᴷ,0,diskrimin,3398
apologi,辩ᴬᴾ,0,apologi,3881
diskurs,辩ᴰˢ,0,diskurs,3882
ekskuz,辩ᴱᴷ,0,ekskuz,3879
polemik,辩ᴾᴹ,0,polemik,3880
listel,边ᴸˢ,0,listel,3600
pase,过ᴾᴱ,0,pase,130
preter,过ᴾᴿ,0,preter,129
progresi,进ᴾᴵ,0,progresi,2975
koneks,连ᴷˢ,0,koneks,624
konekt,连ᴷᴺ,0,konekt,623
dekadenc,退ᴰᴷ,0,dekadenc,4583
retret,退ᴿᵀ,0,retret,4582
emeritur,退休金,0,emeritur,7092
adekvat,适ᴬᴰ,0,adekvat,2714
akomod,适ᴬᴷ,0,akomod,2713
ŝerc,逗ˢ̂,0,ŝerc,3602
perversi,邪ᴾᴵ,0,perversi,6746
brand,酒ᴮᴺ,0,brand,2660
ĝin,酒ᴳ̂,0,g^in,2661
ĉampan,酒ᶜ̂,0,c^ampan,2664
ekstaz,醉ᴱᴷ,0,ekstaz,3975
gros,醋栗ᴳ,0,gros,5299
eksplik,释ᴱˢ,0,eksplik,6613
eksplic,释ᴱᶜ,0,eksplic,6614
barit,重晶石,0,barit,6926
lami,野芝麻,0,lami,6524
vici,野豌豆,0,vici,7292
fazan,野鸡ᶠ,0,fazan,5741
stronci,金ˢᵀ,0,stronci,315
bismut,金ᴮˢ,0,bismut,287
bari,金ᴮᴬ,0,bari,322
berkeli,金ᴮᴷ,0,berkeli,335
berili,金ᴮᴿ,0,berili,286
ejnŝtejni,金ᴱᴶ,0,ejns^tejni,341
gadolini,金ᴳᴰ,0,gadolini,318
germanium,金ᴳᴿ,0,germanium,320
holmi,金ᴴᴸ,0,holmi,329
iterbi,金ᴵᴮ,0,iterbi,305
iridi,金ᴵᴿ,0,iridi,298
itri,金ᴵᵀ,0,itri,294
kobalt,金ᴷᴮ,0,kobalt,306
kaliforni,金ᴷᴸ,0,kaliforni,321
kromi,金ᴷᴿ,0,kromi,300
lantan,金ᴸᴺ,0,lantan,307
luteci,金ᴸᶜ,0,luteci,308
magnezi,金ᴹᴳ,0,magnezi,313
molibden,金ᴹᴸ,0,molibden,319
mendelevi,金ᴹᴺ,0,mendelevi,342
niob,金ᴺᴮ,0,niob,323
neodim,金ᴺᴰ,0,neodim,332
nobeli,金ᴺᴼ,0,nobeli,331
neptuni,金ᴺᴾ,0,neptuni,336
osmi,金ᴼˢ,0,osmi,296
protaktini,金ᴾᴷ,0,protaktini,344
prometi,金ᴾᴿ,0,prometi,338
plutoni,金ᴾᵀ,0,plutoni,314
prazeodim,金ᴾᶻ,0,prazeodim,343
rubidi,金ᴿᴮ,0,rubidi,333
reni,金ᴿᴺ,0,reni,324
rodi,金ᴿᴼ,0,rodi,325
terbi,金ᵀᴮ,0,terbi,330
tekneci,金ᵀᴷ,0,tekneci,337
tuli,金ᵀᴸ,0,tuli,326
tantal,金ᵀᴺ,0,tantal,312
cezi,金ᶜᶻ,0,cezi,290
vanad,金ⱽᴬ,0,vanad,303
volfram,金ⱽᴸ,0,volfram,316
salangan,金丝燕,0,salangan,7291
akaci,金合欢,0,akaci,6342
nit,钉ᴺᵀ,0,nit,3753
madz,钉头锤,0,madz,7182
horloĝ,钟ᴴᴸ,0,horloĝ,1127
natr,钠ᴺᴬ,0,natr,5391
kroĉet,钩ᴷᵀ,0,kroc^et,3726
ĥelicer,钳ᴴ̂,0,h^elicer,6188
dril,钻ᴰᴿ,0,dril,3940
fero,铁ᶠᴼ,0,fero,1809
adiant,铁线草,0,adiant,6956
streptokok,链球菌,0,streptokok,6895
kaserol,锅ᴷˢ,0,kaserol,3708
akut,锐ᴬᵀ,0,akut,2718
male,锤ᴹᴸ,0,male,3744
skop,镜ˢᴷ,0,skop,3628
lens,镜ᴸᴺ,0,lens,3629
lorn,镜ᴸᴿ,0,lorn,3630
kanap,长椅ᴷ,0,kanap,7154
scintil,闪ˢᶜ,0,scintil,3167
flagr,闪ᶠᴳ,0,flagr,3165
skadr,队ˢᴰ,0,skadr,4413
profilaktik,防ᴾᶠ,0,profilaktik,2763
falus,阳具ᶠ,0,falus,6335
kolegi,院ᴷᴸ,0,kolegi,1781
prior,院长ᴾ,0,prior,6061
ektomi,除ᴱᴷ,0,ektomi,3413
elimin,除ᴱᴸ,0,elimin,3414
separ,隔ˢᴿ,0,separ,5094
separat,隔ˢᵀ,0,separat,5097
obstrukc,障ᴼᴿ,0,obstrukc,2740
pirol,雀ᴾᴿ,0,pirol,4404
ŝik,雅ˢ̂,0,s^ik,3696
koncentr,集ᴷᴺ,0,koncentr,942
kolektiv,集ᴷⱽ,0,kolektiv,943
skulptur,雕ˢᴿ,0,skulptur,3492
anaglif,雕ᴬᴺ,0,anaglif,3491
ĉiz,雕ᶜ̂,0,c^iz,3488
luĝ,雪车ᴸ,0,lug^,5313
seism,震ˢᴱ,0,seism,4688
penicilin,青霉素,0,penicilin,6751
sedativ,静ˢᴰ,0,sedativ,1266
kalm,静ᴷᴸ,0,kalm,1268
kvi,静ᴷⱽ,0,kvi,1267
