difeomorfi,微分同胚ᴰᴵ
ureemi,尿素血
urat,尿酸盐
stratum,层ˢᴹ
espoz,展ᴱˢ
ekspozici,展ᴱᴷ
ekspon,展ᴱᴺ
evoluci,展ᴱᶜ
ŝoĥt,屠ˢ̂
karj,山核桃
filadelf,山梅花
petrolog,岩学家
enorm,巨ᴱᴺ
tukan,巨嘴鸟
sklerotit,巩膜炎
ŝaman,巫ˢ̂
propriet,己ᴾᵀ
bazar,市ᴮᶻ
municip,市ᴹᴺ
ŝtof,布ˢ̂
tik,布ᵀᴷ
ĵib,帆ᴶ̂
velar,帆ⱽᴿ
hals,帆索ᴴ
goelet,帆船ᴳ
lugr,帆船ᴸ
imperator,帝ᴵᵀ
prote,帝王花
balte,带ᴮᴸ
bandolier,带ᴮᴺ
banderol,带ᴮᴿ
ruband,带ᴿᴮ
zonul,带ᶻᴸ
beret,帽ᴮᴱ
kapuĉ,帽ᴷᴾ
kasket,帽ᴷᵀ
kapucen,帽ᴷᶜ
kuf,帽ᴷᶠ
stratosfer,平流层
ĥimer,幻ᴴ̂
halucinaci,幻ᴴᶜ
fantast,幻ᶠˢ
festival,庆ᶠⱽ
fon,底ᶠᴼ
abrogaci,废ᴬᴮ
abrog,废ᴬᴿ
abolici,废ᴬᶜ
ruin,废ᴿᴺ
pistak,开心果
aperitiv,开胃酒
disident,异ᴰˢ
diferenci,异ᴰᴵ
diferencial,异ᴰᴸ
ekzotik,异ᴱᴷ
heterozigot,异合子
heterogamet,异配子
abandon,弃ᴬᴰ
mod,式ᴹᴰ
modal,式ᴹᴸ
tonus,张ᵀˢ
arkus,弧ᴬˢ
ŝrapnel,弹ˢ̂
elastomer,弹链节
atribut,归ᴬᵀ
repertuar,录ᴿᴾ
morfi,形ᴹᴵ
figur,形ᶠᴳ
formal,形ᶠᴸ
mikrokredit,微信受
mikroflaŭr,微植相
mikromezuril,微测具
mikrobiologi,微生学
mikropipet,微移液
mikrospor,微胞子
zefir,微风ᶻ
kardi,心ᴷᴰ
psik,心ᴾˢ
psikolog,心学家
kardiopati,心病ᴷ
kardimiopati,心肌病
nepr,必ᴺᴾ
alegr,快ᴬᴸ
kolerik,怒ᴷᴷ
seksolog,性学家
impotent,性无能
venerologi,性病学
ĝeneral,总ᴳ̂
polipoz,息肉症
malign,恶ᴹᴳ
mav,恶ᴹⱽ
ĉagren,恼ᶜ̂
platan,悬铃木
trist,悲ᵀˢ
tragik,悲ᵀᴷ
pesimism,悲主义
pasi,情ᴾˢ
patos,情ᴾᵀ
ideal,想ᴵᴰ
gajak,愈疮木
signif,意ˢᴳ
intenc,意ᴵᴺ
ideolog,意学家
idiotism,愚主义
sens,感ˢˢ
sentiment,感ˢᴹ
influenc,感ᴵᶠ
volont,愿ⱽᴺ
travesti,戏仿ᵀ
prestidigitator,戏法员
polemolog,战学家
tonsil,扁桃ᵀ
tonsilit,扁桃炎
tonsilektomi,扁桃除
ĝeni,才ᴳ̂
korbel,托ᴷᴿ
buk,扣ᴮᴷ
ekzekuci,执ᴱᶜ
ekzekv,执ᴱⱽ
amplifik,扩ᴬᴷ
ĵam,扰ᴶ̂
ratifik,批ᴿᴷ
teknologi,技ᵀᴸ
inhib,抑ᴵᴺ
protestant,抗ᴾᴺ
rezistanc,抗ᴿᴺ
antibiotik,抗生布
refrakt,折ᴿᶠ
riport,报ᴿᴵ
refer,报ᴿᶠ
telegram,报ᵀᴹ
kramf,抽筋ᴷ
konvulsiterapi,抽风疗
bazidimicet,担子菌
trakci,拉ᵀᴷ
fotogliptik,拍玉雕
fotolitografi,拍石志
fototelegraf,拍远记
traktor,拖ᵀᴷ
ŝvabr,拭ˢ̂
indikator,指ᴵᵀ
indic,指ᴵᶜ
vibraci,振ⱽᶜ
oscilator,振具ᴼ
damaĝ,损ᴰᴹ
eksklud,排ᴱᴰ
ekskreci,排ᴱᴿ
kotlet,排ᴷᵀ
ŝov,推ˢ̂
propuls,推ᴾᴿ
piktur,描ᴾᴷ
interpol,插ᴵᵀ
ŝancel,摇ˢ̂
karambol,撞ᴷᴿ
gimnast,操ᴳᴵ
manipul,操ᴹᴾ
falĉator,收割具
agres,攻ᴬᴳ
polit,政ᴾᴼ
politolog,政学家
efekt,效ᴱᵀ
antagon,敌ᴬᴺ
antagonism,敌主义
pedagogi,教ᴾᴵ
dispers,散ᴰᴾ
distr,散ᴰᵀ
difuz,散ᴰᶠ
diverĝ,散ᴰⱽ
diskredit,散信受
pietat,敬ᴾᴵ
piet,敬ᴾᵀ
pietism,敬主义
numeral,数ᴺᴿ
apret,整ᴬᴾ
apretur,整ᴬᴿ
rektifik,整ᴿᴷ
kursiv,斜ᴷᴿ
strabometr,斜计ˢ
neo,新ᴺᴱ
neologism,新ᴺᴸ
neolitik,新石学
kvadrat,方ᴷⱽ
metodologi,方法学
galen,方铅矿
giro,旋ᴳᴼ
piruet,旋ᴾᴿ
etnolog,族学家
nihil,无ᴺᴴ
nihilism,无主义
senestez,无感ˢ
anarkist,无政家
anastigmat,无散光
anaerobi,无气生
anoksemi,无氧血
abiogenez,无生源
ateist,无神家
anizotrop,无等向
fig,无花果
dimanĉ,日ᴰᴹ
heliografi,日光信
koron,日光环
heliograf,日光镜
kronostratigrafi,时层志
preskript,时效ᴾ
stupor,昏ˢᵀ
komat,昏ᴷᴹ
sider,星ˢᴰ
satelit,星ˢᵀ
astrolog,星学家
astronaŭtik,星航学
jaroviz,春化ᴶ
haloo,晕ᴴᴼ
vespr,晚ⱽᴿ
panoram,景ᴾᴺ
sprit,智ˢᴾ
tempest,暴风ᵀ
kanzon,曲ᴷᴺ
hoke,曲棍球
alternativ,替ᴬᵀ
lund,月ᴸᴰ
dum,期ᴰᴹ
sasafras,木ˢˢ
sparti,木ˢᴬ
sorbus,木ˢᴮ
sapind,木ˢᴰ
semekarp,木ˢᴱ
sekvojadendr,木ˢᴶ
skin,木ˢᴷ
sterkuli,木ˢᴸ
simarub,木ˢᴹ
strikn,木ˢᴺ
strofant,木ˢᴼ
spire,木ˢᴾ
sarak,木ˢᴿ
strob,木ˢᵀ
sumak,木ˢᵁ
sofor,木ˢᶠ
sviteni,木ˢⱽ
angostur,木ᴬˢ
argani,木ᴬᴬ
andromed,木ᴬᴰ
alatern,木ᴬᴱ
agatid,木ᴬᴳ
azimen,木ᴬᴵ
akebi,木ᴬᴷ
albizi,木ᴬᴸ
amirid,木ᴬᴹ
anagir,木ᴬᴺ
arktostafil,木ᴬᴼ
artokarp,木ᴬᴾ
arali,木ᴬᴿ
antiar,木ᴬᵀ
aŭkume,木ᴬᵁ
aviceni,木ᴬᶜ
akvifoli,木ᴬᶠ
azarol,木ᴬᶻ
avero,木ᴬⱽ
bosveli,木ᴮˢ
baobab,木ᴮᴮ
budle,木ᴮᴰ
bignoni,木ᴮᴳ
biks,木ᴮᴷ
bold,木ᴮᴸ
banjan,木ᴮᴺ
brusoneti,木ᴮᴼ
bertoleti,木ᴮᴿ
balat,木ᴮᵀ
burser,木ᴮᵁ
brunfelsi,木ᴮᶠ
bugenvil,木ᴮⱽ
dalbergi,木ᴰᴮ
deodar,木ᴰᴰ
delonik,木ᴰᴷ
dileni,木ᴰᴸ
damar,木ᴰᴹ
dipterik,木ᴰᴾ
drimis,木ᴰᴿ
dipterokarp,木ᴰᵀ
duri,木ᴰᵁ
eskul,木ᴱˢ
eritroksil,木ᴱᴷ
ele,木ᴱᴸ
empetr,木ᴱᴹ
eritren,木ᴱᴺ
epakrid,木ᴱᴾ
ereti,木ᴱᴿ
eŭkalipt,木ᴱᵀ
efedr,木ᴱᶠ
grosulari,木ᴳˢ
gardeni,木ᴳᴱ
gink,木ᴳᴷ
glediĉi,木ᴳᴸ
grumiŝam,木ᴳᴹ
gari,木ᴳᴿ
guta,木ᴳᵀ
garcini,木ᴳᶜ
gvaran,木ᴳⱽ
hipokastan,木ᴴˢ
hikori,木ᴴᴷ
hamamelid,木ᴴᴸ
himene,木ᴴᴹ
hipoman,木ᴴᴺ
hipofe,木ᴴᴾ
hur,木ᴴᴿ
hematoksil,木ᴴᵀ
ĵaŭd,木ᴶ̂
jaborand,木ᴶᴮ
johimb,木ᴶᴴ
jakarand,木ᴶᴷ
kupres,木ᴷˢ
kvasi,木ᴷᴬ
kobe,木ᴷᴮ
kad,木ᴷᴰ
kubeb,木ᴷᴱ
kanang,木ᴷᴳ
koril,木ᴷᴵ
kajeput,木ᴷᴶ
kokl,木ᴷᴷ
kola,木ᴷᴸ
kumar,木ᴷᴹ
kalun,木ᴷᴺ
kolute,木ᴷᴼ
kopaiv,木ᴷᴾ
kornus,木ᴷᴿ
karite,木ᴷᵀ
kus,木ᴷᵁ
kacur,木ᴷᶜ
kofe,木ᴷᶠ
kluzi,木ᴷᶻ
kava,木ᴷⱽ
lentisk,木ᴸˢ
laburn,木ᴸᴮ
liriodendr,木ᴸᴰ
lagerstrom,木ᴸᴳ
likvidambar,木ᴸᴷ
longan,木ᴸᴺ
larici,木ᴸᴿ
lorant,木ᴸᵀ
lecitid,木ᴸᶜ
lavsoni,木ᴸⱽ
malus,木ᴹˢ
manilkar,木ᴹᴬ
maduk,木ᴹᴰ
metroksil,木ᴹᴱ
magnoli,木ᴹᴳ
mahagon,木ᴹᴴ
miristik,木ᴹᴵ
makeri,木ᴹᴷ
moli,木ᴹᴸ
musend,木ᴹᴺ
monodor,木ᴹᴼ
mirik,木ᴹᴿ
mangostan,木ᴹᵀ
mug,木ᴹᵁ
mangifer,木ᴹᶠ
mezere,木ᴹᶻ
mangrov,木ᴹⱽ
negund,木ᴺᴳ
okrom,木ᴼᴷ
opul,木ᴼᴾ
psidi,木ᴾˢ
pirakant,木ᴾᴬ
podokarp,木ᴾᴰ
pterokarp,木ᴾᴱ
pirus,木ᴾᴵ
pajen,木ᴾᴶ
pilokarp,木ᴾᴷ
palakvi,木ᴾᴸ
pumili,木ᴾᴹ
pandan,木ᴾᴺ
papaŭ,木ᴾᴾ
pinastr,木ᴾᴿ
pitang,木ᴾᵀ
pistaci,木ᴾᶜ
paŭlovni,木ᴾⱽ
rusk,木ᴿˢ
robur,木ᴿᴮ
robini,木ᴿᴵ
ramn,木ᴿᴹ
rambutan,木ᴿᵀ
rafi,木ᴿᶠ
ravenal,木ᴿⱽ
teobrom,木ᵀᴮ
tamarind,木ᵀᴰ
tipuan,木ᵀᴵ
tujops,木ᵀᴶ
taksodi,木ᵀᴷ
terminali,木ᵀᴹ
tonk,木ᵀᴺ
telope,木ᵀᴾ
terebint,木ᵀᴿ
tetraklin,木ᵀᵀ
cestr,木ᶜˢ
ĉat,木ᶜ̂
cedrel,木ᶜᴰ
ceratoni,木ᶜᴱ
cikas,木ᶜᴷ
celtid,木ᶜᴸ
cinamom,木ᶜᴺ
cercid,木ᶜᴿ
celastr,木ᶜᵀ
cercidifil,木ᶜᶠ
cezalpini,木ᶜᶻ
forsiti,木ᶠˢ
foradendr,木ᶠᴰ
fenik,木ᶠᴺ
fortunel,木ᶠᴿ
vikstremi,木ⱽᴷ
bombak,木棉ᴮ
karik,木瓜ᴷ
cidoni,木瓜ᶜ
futurolog,未学家
ŝanc,机ˢ̂
robot,机器人
prunus,李ᴾˢ
anzu,杏ᴬᴺ
sabin,杜松ˢ
striat,条ˢᵀ
teniicid,条虫杀
pini,松ᴾᴵ
vajr,松鼠皮
plak,板ᴾᴷ
panel,板ᴾᴺ
elektrod,极ᴱᴸ
paroks,极ᴾᴷ
polar,极ᴾᴿ
paroksism,极主义
paradize,极乐鸟
analitik,析ᴬᵀ
ĝangal,林ᴳ̂
aliz,果ᴬᴸ
graviol,果ᴳᴸ
grapfrukt,果ᴳᴿ
kurm,果ᴷᴿ
loganber,果ᴸᴳ
mespil,果ᴹˢ
rubus,果ᴿᴮ
ĉerimoli,果ᶜ̂
frag,果ᶠᴳ
framb,果ᶠᴹ
fruktolog,果学家
skafald,架ˢᴷ
ĉarpent,架ᶜ̂
kromosom,染色体
kromatin,染色质
limonad,柠檬水
kegl,柱ᴷᴳ
balustrad,栏ᴮᴸ
dendrologi,树学ᴰ
dendrokronologi,树时学
tromboz,栓症ᵀ
sampl,样ˢᴹ
ribosom,核糖体
radikl,根ᴿᴸ
pupitr,案ᴾᴾ
dokument,档ᴰᴷ
ĉevron,梁ᶜ̂
navet,梭ᴺᵀ
meĥanism,械ᴹˢ
mekanism,械ᴹᴱ
mekan,械ᴹᴷ
meĥan,械ᴹᴺ
inspekt,检ᴵᴺ
lazaret,检疫院
ŝed,棚ˢ̂
barak,棚ᴮᴿ
fitogeografi,植地志
plantolog,植学家
piper,椒ᴾᴱ
elips,椭圆ᴱ
kompendi,概ᴷᴹ
ŝablon,模ˢ̂
deficit,欠ᴰᶠ
vodevil,歌舞剧
promen,步ᴾᴿ
kripl,残ᴷᴾ
pulul,殖ᴾᴸ
epizod,段ᴱᴾ
toksin,毒ᵀᴺ
virulent,毒ⱽᴸ
virus,毒ⱽᴿ
virusologi,毒学ⱽ
toksolog,毒学家
karbunkl,毒疮ᴷ
furunk,毒疮ᶠ
pleŭronekt,比目鱼
trikofit,毛癣菌
mili,毫ᴹᴵ
demokrat,民ᴰᴱ
pleb,民ᴾᴸ
civilizaci,民化态
argon,气ᴬᴳ
atmosfer,气ᴬᵀ
helium,气ᴴᴹ
ksenon,气ᴷˢ
niton,气ᴺᵀ
pneŭmatik,气ᴾᴷ
klimatologi,气候学
klimatoterapi,气候疗
meteologi,气学ᴹ
aerolog,气学家
gasogen,气生ᴳ
traĥeotomi,气管切
trakeofit,气管植
traĥeit,气管炎
aeronaŭtik,气航学
aerometr,气计ᴬ
sulfamat,氨硫盐
kloridemi,氯化血
hidrogeologi,水地学
hidrolog,水学家
hidroaeroplan,水气划
hidroksid,水氧化
hidrokarbid,水炭子
hidrosulfit,水硫盐
stakioz,水苏糖
postul,求ᴾˢ
petici,求ᴾᶜ
konverĝ,汇ᴷᴺ
ĥan,汗ᴴ̂
benzinometr,汽油计
sink,沉ˢᴺ
sedimentolog,沉学家
bitum,沥青ᴮ
peĉ,沥青ᴾ
kolz,油菜ᴷ
krati,治ᴷᴵ
regi,治ᴿᴵ
metodik,法ᴹᴷ
blaz,泡ᴮᴸ
ŝlim,泥ˢ̂
dakriocistit,泪囊炎
jalap,泻块根
oceanolog,洋学家
spele,洞ˢᴾ
kavern,洞ᴷᴿ
speleolog,洞学家
vigl,活ⱽᴳ
vivulicid,活者杀
skol,派ˢᴸ
deriv,派ᴰᴿ
metri,测ᴹᵀ
ukij,浮世绘
eĥinoderm,海胆皮
impregn,浸ᴵᴹ
marin,浸ᴹᴿ
eluvi,淋ᴱⱽ
limfat,淋ᴸᵀ
limfatism,淋主义
gonokokemi,淋菌血
flegm,淡ᶠᴸ
sinkretism,混主义
oratori,清唱剧
kanalizaci,渠ᴷᶻ
ŝlak,渣ˢ̂
tepid,温ᵀᴾ
termi,温ᵀᴿ
tramp,游ᵀᴹ
higr,湿ᴴᴳ
etimolog,源学家
ŝus,滑ˢ̂
sinovi,滑ˢᴺ
sket,滑ˢᵀ
skut,滑ˢᵁ
glat,滑ᴳᴬ
staz,滞ˢᶻ
kolimb,潜鸟ᴷ
podicip,潜鸟ᴾ
delikvesk,潮解ᴰ
stimulin,激素ˢ
pirgeometr,火地计
vulkanologi,火山学
pirheliometr,火日计
pirogajl,火树瘤
flameng,火烈鸟
pirosulfat,火硫盐
lucern,灯ᴸᶜ
poliomjelit,灰髓炎
spiritual,灵ˢᴸ
spiritualism,灵主义
cibet,灵猫香
primatologi,灵长学
kataklism,灾ᴷᴷ
kalorifer,炉ᴷᴸ
fornel,炉ᶠᴸ
koriz,炎ᴷᴿ
poent,点ᴾᵀ
cigar,烟ᶜᴵ
karbonar,烧炭党
termik,热ᵀᴷ
furor,热ᶠᴿ
termoelektron,热电子
termosifon,热虹吸
termoregulig,热规使
kulinar,烹ᴷᴸ
fokusterapi,焦点疗
iluminaci,照ᴵᶜ
filolog,爱学家
patri,父ᴾᴵ
lamel,片ᴸᴸ
medalion,牌ᴹᴺ
gingivit,牙肉炎
ĉement,牙骨质
pastr,牧ᴾˢ
pastor,牧ᴾᴼ
medikag,牧草ᴹ
fiziografi,物理志
fizioterapi,物理疗
specifik,特ˢᴷ
specif,特ˢᶠ
koncesi,特许ᴷ
ŝpic,犬ˢ̂
fanatik,狂ᶠᴺ
furioz,狂ᶠᶻ
skarlatin,猩红热
eritroni,猪牙花
strig,猫头鹰
simfalang,猴ˢᴹ
atel,猴ᴬᴸ
aluat,猴ᴬᵀ
galag,猴ᴳᴸ
hulman,猴ᴴᴸ
kalitriks,猴ᴷᵀ
kaliceb,猴ᴷᶜ
lagotrik,猴ᴸᴳ
mandril,猴ᴹᴺ
pitek,猴ᴾᴷ
parantrop,猴ᴾᴺ
presbit,猴ᴾᴿ
tarsi,猴ᵀᴿ
cerkopitek,猴ᶜᴿ
aktinidi,猴桃ᴬ
jasp,玉ᴶˢ
jaspis,玉ᴶᴾ
raĝ,王ᴿᴬ
rojal,王ᴿᴶ
rojalism,王主义
rojalist,王党者
cirkul,环ᶜᴿ
aktual,现ᴬᴷ
vitre,玻ⱽᴱ
globin,珠蛋白
balon,球ᴮᴺ
glomerul,球ᴳᴹ
globulin,球蛋白
racional,理ᴿᴺ
harmonik,琴ᴴᴹ
kukumis,瓜ᴷˢ
kantalup,瓜ᴷᴺ
kukurb,瓜ᴷᴿ
momordik,瓜ᴹᴹ
melopep,瓜ᴹᴾ
potiron,瓜ᴾᵀ
vathorometr,瓦钟计
fiol,瓶ᶠᴵ
patat,甘薯ᴾ
bi,生ᴮᴵ
bio,生ᴮᴼ
gener,生ᴳᴿ
plazi,生ᴾᴸ
biokemi,生化学
biontologi,生在学
biogeografi,生地志
biolog,生学家
biofizik,生物理
fiziologi,生理学
tireotomi,甲状切
tiroidit,甲状炎
tiroidektomi,甲状除
elektronik,电ᴱᴺ
galvanoterapi,电疗ᴳ
galvanometr,电计ᴳ
galvanoskop,电镜ᴳ
bariton,男中音
tenor,男高音
skeptik,疑ˢᴷ
kazuist,疑难家
ekzem,疹ᴱᴹ
patolog,病学家
sindrom,症ˢᴺ
algiolog,痛学家
varik,瘤ⱽᴬ
plegi,瘫ᴾᴸ
paraliz,瘫ᴾᴿ
parez,瘫ᴾᶻ
karcinom,癌ᴷᴿ
katarakt,白内障
albugineit,白膜炎
albumin,白蛋白
leŭkemi,白血病
platenat,白金盐
centezimal,百ᶜᶻ
megavat,百万瓦
ŝutr,百叶窗
kokluŝ,百日咳
timian,百里香
dermat,皮ᴰᵀ
dermatolog,皮学家
kaset,盒ᴷᵀ
koalici,盟ᴷᴸ
oftalm,目ᴼᶠ
oftalmolog,目学家
palpebrit,目皮炎
cekumit,盲肠炎
helikopter,直升机
rektumoskop,直肠镜
ortoromb,直角菱
fizionomi,相ᶠᴺ
provincial,省ᴾᴸ
provincialism,省主义
tarzit,眼板炎
kobr,眼镜蛇
vokt,督ⱽᴷ
celakant,矛尾鱼
gnoz,知ᴳᶻ
amfibrak,短长短
gipsofil,石膏爱
antimon,矿ᴬᴺ
minera,矿ᴹᴵ
mineral,矿ᴹᴿ
selenid,矿化ˢ
mineralog,矿学家
selenat,矿盐ˢ
telurit,矿盐ᵀ
tomahok,砍ᵀᴹ
ĉifon,破ᶜ̂
tetanos,破伤风
silici,硅ˢᴵ
silik,硅ˢᴷ
sulfin,硫ˢᴺ
sulfur,硫ˢᴿ
sulfcianat,硫青盐
konstat,确ᴷˢ
fragment,碎ᶠᴳ
karboni,碳ᴷᴵ
karbur,碳ᴷᴿ
magnetofon,磁ᴹᶠ
magnetit,磁铁矿
pumik,磨ᴾᴹ
fosfo,磷ᶠᴼ
fosfor,磷ᶠᴿ
fosfaturi,磷盐尿
fosfatemi,磷盐血
manifestaci,示ᴹᶠ
ĝentil,礼ᴳ̂
social,社ˢᴸ
societ,社ˢᵀ
sociolog,社学家
atavism,祖主义
teism,神主义
teolog,神学家
deist,神家ᴰ
neŭrotrop,神经向
nervologi,神经学
neŭrasteni,神经弱
neŭrit,神经炎
neŭropati,神经病
neŭroz,神经症
neŭralgi,神经痛
neŭrom,神经瘤
neŭropter,神经翅
mitologi,神话学
mitomani,神话狂
balot,票ᴮᴬ
ĉek,票ᶜ̂
prohib,禁ᴾᴿ
ion,离子ᴵ
jonosfer,离子球
partikular,私ᴾᵀ
kolĉik,秋水仙
speci,种ˢᴵ
spec,种ˢᴾ
sekci,科ˢᴷ
sekretari,秘ˢᴿ
kabal,秘ᴷᴮ
konfidenci,秘ᴷᴵ
ĉart,租ᶜ̂
kvalif,称ᴷⱽ
procedur,程ᴾᴰ
proces,程ᴾᶜ
procez,程ᴾᶻ
vaku,空ⱽᵁ
permeabl,穿ᴾᴿ
perfor,穿ᴾᶠ
tred,穿ᵀᴰ
manis,穿山甲
sturm,突ˢᵀ
stereotomi,立体切
stereofon,立体声
stereografi,立体志
stereometri,立体测
stereoskop,立体镜
konkurs,竞ᴷˢ
konkurenc,竞ᴷᴺ
bambuz,竹ᴮᶻ
fasm,竹节虫
flut,笛ᶠᴸ
fifr,笛ᶠᶠ
semio,符ˢᴱ
simbol,符ˢᴹ
ekvivalent,等ᴱᴷ
kariokinez,等分ᴷ
izoŝunt,等分流
izocianat,等青盐
komput,算ᴷᴹ
ŝalm,管ˢ̂
administraci,管ᴬᶜ
kontener,箱ᴷᴺ
kofr,箱ᴷᶠ
kategori,类ᴷᵀ
pudr,粉ᴾᴰ
polen,粉ᴾᴺ
polenolog,粉学家
granul,粒ᴳᴺ
granol,粒ᴳᴼ
granulocitemi,粒胞血
spermati,精ˢᴵ
niks,精ᴺᴷ
verumontanit,精丘炎
spermicid,精液杀
spermogoni,精液源
sakarid,糖ˢᴰ
glik,糖ᴳᴵ
gluk,糖ᴳᴸ
glucid,糖ᴳᶜ
kand,糖ᴷᴰ
glikogenogenez,糖原源
glikogenoliz,糖原解
glukuri,糖尿ᴳ
spalir,系ˢᴾ
genealog,系学家
vegan,素ⱽᴺ
rizofor,红树ᴿ
eritropoezin,红生素
hemati,红胞ᴴ
eritrocitemi,红胞血
fibrin,纤蛋白
konvenci,约ᴷⱽ
kaskad,级ᴷˢ
mediastinit,纵隔炎
papirologi,纸草学
franĝ,纹ᶠᴺ
line,线ᴸᴱ
linear,线ᴸᴿ
organiz,组ᴼᴿ
detal,细ᴰᵀ
mikrobologi,细菌学
mikrobicid,细菌杀
trik,织ᵀᴿ
trikot,织ᵀᵀ
histolog,织学家
final,终ᶠᴸ
knot,结ᴷᵀ
skrofol,结核ˢ
ftizologi,结核学
tuberkulin,结核素
litiaz,结石ᴸ
kojlostomi,结肠漏
kojlit,结肠炎
kojlektomi,结肠除
konjunktivit,结膜炎
scil,绵枣儿
remit,缓ᴿᴹ
redaktor,编ᴿᴿ
ŝrump,缩ˢ̂
retikul,网ᴿᴷ
retinit,网膜炎
retinopati,网膜病
penal,罚ᴾᴸ
kloŝ,罩ᴷᴸ
krim,罪ᴷᴿ
krimolog,罪学家
karakul,羊ᴷᴿ
muflon,羊ᴹᶠ
pergamen,羊皮纸
selaginel,羊齿ˢ
azol,羊齿ᴬ
davali,羊齿ᴰ
kriptogram,羊齿ᴷ
nefrolepid,羊齿ᴺ
pterid,羊齿ᴾ
ceterak,羊齿ᶜ
pteridofit,羊齿植
rea,美洲鸵
pterig,翅ᴾᴳ
revers,翻ᴿⱽ
pteraspidmorf,翼甲形
ŝpat,耕ˢ̂
pubiotomi,耻骨切
feder,联ᶠᴱ
federal,联ᶠᴸ
kim,聚伞ᴷ
bugr,肛交ᴮ
ile,肠ᴵᴸ
enterit,肠炎ᴱ
pneŭmoni,肺ᴾᴵ
pneŭmon,肺ᴾᴺ
pjelit,肾盆炎
onkologi,肿瘤学
onkogen,肿瘤生
turgesk,胀ᵀˢ
gaster,胃ᴳᴱ
gastrospasm,胃抽筋
stomakit,胃炎ˢ
gastrenterit,胃肠炎
kardjotomi,胃门切
kardjalgi,胃门痛
kolecistit,胆囊炎
kolesterolemi,胆醇血
embriolog,胚学家
cito,胞ᶜᵀ
citoz,胞ᶜᶻ
sporofit,胞子植
sporogoni,胞子源
sporangi,胞子脉
citologi,胞学ᶜ
citolog,胞学家
karot,胡萝卜
pankreas,胰ᴾˢ
insulin,胰岛素
gum,胶ᴳᴹ
koloid,胶ᴷᴸ
bust,胸ᴮˢ
pleŭrit,胸膜炎
kompetent,能ᴷᴹ
steat,脂ˢᵀ
lipid,脂ᴸᴾ
lipoprotein,脂蛋白
angi,脉ᴬᴺ
vaskul,脉ⱽˢ
angiit,脉炎ᴬ
vejnit,脉炎ⱽ
koroidit,脉膜炎
tabet,脊髓病
cerebr,脑ᶜᴿ
meningit,脑膜炎
pio,脓ᴾᴵ
striptiz,脱衣舞
kasi,腊肠树
sapr,腐ˢᴿ
parotidit,腮腺炎
adenoidit,腺似炎
plastr,膏ᴾᴸ
aŭtism,自主义
naturaliz,自然化
naturalist,自然家
aŭtobiografi,自生志
ozonterapi,臭氧疗
ozonometr,臭氧计
sesdeknaŭ,舔吸ˢ
kajak,舟ᴷᴶ
kanot,舟ᴷᵀ
navigaci,航ᴺᶜ
fregat,舰ᶠᴿ
benign,良ᴮᴳ
erot,色ᴱᴿ
kromat,色ᴷᴿ
erotologi,色情学
erotomani,色情狂
kromofotografi,色拍志
kromolitografi,色石志
strof,节ˢᵀ
artr,节ᴬᴿ
dietik,节ᴰᴷ
ganglion,节ᴳᴺ
gangliit,节炎ᴳ
granit,花岗岩
feston,花环ᶠ
ŝos,芽ˢ̂
pomolog,苹学家
stramoni,茄ˢᵀ
korm,茎叶体
kokon,茧ᴷᴷ
sesleri,草ˢˢ
stapeli,草ˢᴬ
sangvisorb,草ˢᴮ
sued,草ˢᴰ
stelari,草ˢᴱ
sagitari,草ˢᴳ
saraceni,草ˢᴵ
smilak,草ˢᴷ
salsol,草ˢᴸ
samol,草ˢᴹ
sanpaŭli,草ˢᴺ
saponari,草ˢᴼ
spergul,草ˢᴾ
sklare,草ˢᴿ
sature,草ˢᵀ
skutelari,草ˢᵁ
scirp,草ˢᶜ
simfit,草ˢᶠ
sizimbri,草ˢᶻ
sensitiv,草ˢⱽ
asklepiad,草ᴬˢ
aliari,草ᴬᴬ
abutil,草ᴬᴮ
arund,草ᴬᴰ
armeri,草ᴬᴱ
argemon,草ᴬᴳ
anil,草ᴬᴵ
ajug,草ᴬᴶ
akant,草ᴬᴷ
alis,草ᴬᴸ
arum,草ᴬᴹ
anagal,草ᴬᴺ
akor,草ᴬᴼ
apocin,草ᴬᴾ
air,草ᴬᴿ
akte,草ᴬᵀ
arunk,草ᴬᵁ
androzac,草ᴬᶜ
amofil,草ᴬᶠ
aizo,草ᴬᶻ
bromus,草ᴮˢ
barbare,草ᴮᴮ
bemeri,草ᴮᴱ
bromeli,草ᴮᴵ
bekabung,草ᴮᴷ
balote,草ᴮᴸ
butom,草ᴮᴹ
brunel,草ᴮᴺ
borag,草ᴮᴿ
bistort,草ᴮᵀ
biskutel,草ᴮᵁ
bazili,草ᴮᶻ
daktilis,草ᴰˢ
difenbaki,草ᴰᴮ
digitari,草ᴰᴳ
donak,草ᴰᴷ
drimi,草ᴰᴹ
dione,草ᴰᴺ
dioskore,草ᴰᴿ
diktamn,草ᴰᵀ
dafodil,草ᴰᶠ
drozer,草ᴰᶻ
eglanteri,草ᴱᴬ
ebul,草ᴱᴮ
egilop,草ᴱᴳ
elitrigi,草ᴱᴵ
ejŝhorni,草ᴱᴶ
eleokarit,草ᴱᴷ
elode,草ᴱᴸ
elatin,草ᴱᴺ
erodi,草ᴱᴿ
eritre,草ᴱᵀ
erofil,草ᴱᶠ
eŭfrazi,草ᴱᶻ
gosipi,草ᴳˢ
ginseng,草ᴳᴳ
