difeomorfi,微分同胚ᴰᴵ
kebraĉ,木ᴷᶜ̂
miroksil,木ᴹᴵᴿ
melaleŭk,木ᴹᵁ̆
palisandr,木ᴾᴬᴸ
paŭlini,木ᴾᵁ̆
ramonĉ,木ᴿᶜ̂
tibuŝen,木ᵀˢ̂
magnoliofit,木植ᴹᴼ
raŭf,架ᴿᵁ̆
ĉasi,架ᶜ̂ˢ
sekestr,查封ˢˢ
sekvestraci,查封ˢᶜ
disel,柴油ᴰˢ
dendrokronolog,树时学家
nukleogami,核配ᴺᴼ
arĥiv,档ᴬᴴ̂
meĥanik,械ᴹᴴ̂
mekanikoterapi,械疗ᴹᴷ
emetrop,正视ᴱᴹ
virusolog,毒学家ⱽ
vipur,毒蛇ⱽᵁ
klimatolog,气候学家
atmosferologi,气学ᴬᵀ
meteorologi,气学ᴹᴿ
meteolog,气学家ᴹ
atmometr,气计ᴬᵀ
gasometr,气计ᴳᴼ
nitrit,氮盐ᴺᴵ
klorit,氯盐ᴷᴵ
hidrogeolog,水地学家
ĥaos,混乱ᴴ̂
osmozometr,渗计ᴼᴼ
gveril,游击ᴳⱽ
greb,潜鸟ᴳᴿ
vulkanolog,火山学家
musket,火枪ᴹᵀ
termoreguligil,热规使具
demagogi,煽动ᴰᴵ
fizi,物理ᶠᴵ
aŭstralopitek,猴ᴬᵁ̆
raĵa,王ᴿᴶ̂
glicerol,甘油ᴳᴸ
glicer,甘油ᴳᶜ
limet,甜柠ᴸᵀ
fiziolog,生理学家
tire,甲状ᵀᴱ
elektrodinamism,电力主义
elektrotipi,电型ᴱᴵ
elektroliz,电解ᴱᶻ
terapeŭtik,疗ᵀᵁ̆
difterit,白喉ᴰᵀ
albuminuri,白蛋白尿
mega,百万ᴹᴳ
serpil,百里香ˢ
dermatit,皮炎ᴰᵀ
dermopter,皮翅ᴰᴼ
oftalmoskopi,目镜ᴼᴵ
ciklogir,直升机ᶜ
korelativ,相关ᴷᵀ
aŭtent,真ᴬᵁ̆
ŝort,短裤ˢ̂
amiant,石棉ᴬᴹ
selenit,矿盐ˢᴵ
silikat,硅盐ˢᴷ
sulfit,硫盐ˢᴵ
sulfinat,硫盐ˢᴺ
zepelin,硬式飞艇
fosfit,磷盐ᶠᴵ
deism,神主义ᴰ
teokrati,神治ᵀᴵ
neŭrokirurgi,神经外科
neŭrolog,神经学家
neŭrospor,神经胞子
mitolog,神话学家
stereoplanigraf,立体划记
alce,立葵ᴬᶜ
izomorfi,等形ᴵᴵ
ĉur,精液ᶜ̂
skizofreni,精神分裂
glukozuri,糖尿ᴳᶻ
glukozemi,糖血ᴳᶻ
fibrinogen,纤蛋白生
hierarĥi,级ᴴᴴ̂
papir,纸草ᴾᴬ
papirolog,纸草学家
finiŝ,终ᶠˢ̂
ekonomik,经济ᴱᴷ
bibliofili,经爱ᴮᴵ
ftizolog,结核学家
skolopendri,羊齿ˢᴷ
aspleni,羊齿ᴬˢ
densteti,羊齿ᴰᴺ
driopterid,羊齿ᴰᴿ
psilot,羊齿ᴾˢ
polistik,羊齿ᴾᴸ
platiceri,羊齿ᴾᵀ
cistopterid,羊齿ᶜˢ
otoskopi,耳镜ᴼᴵ
otorinolaringologi,耳鼻喉学
pubi,耻骨ᴾᴵ
pneŭmonit,肺炎ᴾᴺ
piel,肾盆ᴾᴸ
gastroskopi,胃镜ᴳᴵ
kolesterin,胆醇ᴷᴺ
embriotomi,胚切ᴱᴼ
embriofit,胚植ᴱᴼ
embriogenez,胚源ᴱᴼ
insulinoterapi,胰岛素疗
arteriit,脉炎ᴬᴿ
vaskulit,脉炎ⱽˢ
impetigin,脓疮ᴵᴺ
adenopati,腺病ᴬᴼ
spontane,自发ˢᴱ
aŭtonomi,自治ᴬᴵ
naturalism,自然主义
naŭtik,航ᴺᵁ̆
jaĥt,艇ᴶᴴ̂
kolorometri,色测ᴷᴼ
kolorometr,色计ᴷᴼ
artritism,节炎主义
briofit,苔植ᴮᴼ
kormofit,茎叶体植
salikorni,草ˢᴬᴸ
sansevier,草ˢᴬᴺ
sigilari,草ˢᴵᴳ
skirp,草ˢᴷᴵ
sklerant,草ˢᴷᴸ
skrofulari,草ˢᴷᴿ
spargani,草ˢᴾᴬ
spergulari,草ˢᴾᴱ
stakis,草ˢᵀᴬ
stratiot,草ˢᵀᴿ
aspidistr,草ᴬˢᴾ
astilb,草ᴬˢᵀ
akonit,草ᴬᴷᴼ
alsin,草ᴬᴸˢ
alokazi,草ᴬᴸᴼ
anastatik,草ᴬᴺᴬ
andropogon,草ᴬᴺᴰ
anturi,草ᴬᴺᵀ
arabis,草ᴬᴿᴬ
arenari,草ᴬᴿᴱ
armoraci,草ᴬᴿᴹ
